697,مصر,ما هي المدينة التي تشتهر بصناعة الغزل والنسيج؟,المحلة الكبرى
698,مصر,"من هو القارئ الملقب بـ ""صوت مكة""؟",عبد الباسط عبد الصمد (لقب بصوت مكة في فترة من حياته)
699,مصر,ما هي أكبر محمية طبيعية في مصر؟,محمية جبل علبة
700,مصر,ما هو الاسم الفرعوني لمدينة الإسكندرية؟,راقودة (القرية القديمة)
791,مصر,من هو مهندس تمثال نهضة مصر؟,محمود مختار
792,مصر,ما هي المحافظة التي يوجد بها معبد فيلة؟,أسوان
793,مصر,أين يقع قصر المنتزه؟,الإسكندرية
794,مصر,"من هو الممثل الملقب بـ ""فتى الشاشة الأول"" قديماً؟",أنور وجدي
795,مصر,ما هو الحي الذي يوجد به مسجد السيدة عائشة؟,حي الخليفة
796,مصر,متى تم افتتاح قناة السويس القديمة؟,1869م
797,مصر,ما هي المدينة التي تشتهر بصناعة الغزل والنسيج؟,المحلة الكبرى
798,مصر,"من هو القارئ الملقب بـ ""صوت مكة""؟",عبد الباسط عبد الصمد
799,مصر,ما هي أكبر محمية طبيعية في مصر؟,محمية جبل علبة
800,مصر,ما هو الاسم الفرعوني لمدينة الإسكندرية؟,راقودة
891,مصر,من هو مهندس تمثال نهضة مصر؟,محمود مختار
892,مصر,ما هي المحافظة التي يوجد بها معبد فيلة؟,أسوان
893,مصر,أين يقع قصر المنتزه؟,الإسكندرية
894,مصر,"من هو الممثل الملقب بـ ""فتى الشاشة الأول"" قديماً؟",أنور وجدي
895,مصر,ما هو الحي الذي يوجد به مسجد السيدة عائشة؟,حي الخليفة
896,مصر,متى تم افتتاح قناة السويس القديمة؟,1869م
897,مصر,ما هي المدينة التي تشتهر بصناعة الغزل والنسيج؟,المحلة الكبرى
898,مصر,"من هو القارئ الملقب بـ ""صوت مكة""؟",عبد الباسط عبد الصمد
899,مصر,ما هي أكبر محمية طبيعية في مصر؟,محمية جبل علبة
900,مصر,ما هو الاسم الفرعوني لمدينة الإسكندرية؟,راقودة
991,مصر,من هو مهندس تمثال نهضة مصر؟,محمود مختار
992,مصر,ما هي المحافظة التي يوجد بها معبد فيلة؟,أسوان
993,مصر,أين يقع قصر المنتزه؟,الإسكندرية
994,مصر,"من هو الممثل الملقب بـ ""فتى الشاشة الأول"" قديماً؟",أنور وجدي
995,مصر,ما هو الحي الذي يوجد به مسجد السيدة عائشة؟,حي الخليفة
996,مصر,متى تم افتتاح قناة السويس القديمة؟,1869م
997,مصر,ما هي المدينة التي تشتهر بصناعة الغزل والنسيج؟,المحلة الكبرى
998,مصر,"من هو القارئ الملقب بـ ""صوت مكة""؟",عبد الباسط عبد الصمد
999,مصر,ما هي أكبر محمية طبيعية في مصر؟,محمية جبل علبة
1000,مصر,ما هو الاسم الفرعوني لمدينة الإسكندرية؟,راقودة
